Source,Target,Label
2465356,879475,0
2888157,3687553,0
695509,1226780,0
4093954,4680353,0
265705,770856,0
1168157,2101269,0
2319454,2205626,0
1730224,4026629,0
3637974,2097782,0
4740319,2880989,0
594388,3493405,0
975630,524135,0
2712033,2031403,0
2151023,3360137,0
1843402,4686220,0
3553471,2520683,0
2637315,1038670,0
2856145,939657,0
529011,4493550,0
2699838,1470945,0
1758651,3898020,0
2987917,1614845,0
3599241,849015,0
1657189,1294988,0
608885,1757981,0
1477179,1341948,0
84779,1827357,0
3508111,2351183,0
4405460,658928,0
1159431,993196,0
1853513,4251016,0
3870742,3220102,0
2413556,3940807,0
2384418,4685331,0
2743488,4329008,0
203675,947395,0
4578009,2888837,0
2971231,3089774,0
1423974,1395928,0
2307991,3749237,0
2656297,2213387,0
769380,771415,0
4354086,1406719,0
2169739,846252,0
4723365,2237384,0
2193505,1258609,0
1001423,4278454,0
1693202,2879588,0
4086031,1421970,0
1402503,1384626,0
3841437,2489730,0
29531,2928942,0
3362469,3218395,0
2730683,2254156,0
4001111,2708729,0
584657,1917610,0
3876457,4781315,0
1167228,3901282,0
1722673,1297931,0
1087502,3269253,0
2557053,4006217,0
4607081,2901277,0
3207739,4007303,0
2632702,1258221,0
3342601,3057562,0
4348567,1988848,0
4154978,2318683,0
3990219,917189,0
386795,3290124,0
2061998,1324485,0
2630046,1085583,0
1304358,2650248,0
730269,4619214,0
2121069,235175,0
3143197,2224010,0
1387281,3864028,0
760174,4594204,0
1055616,4049174,0
3379493,3453530,0
4507487,2988680,0
2576009,3173505,0
1475417,3238172,0
758148,4407368,0
224921,4294029,0
2703904,604449,0
736889,3802960,0
3483659,1266342,0
405606,3426297,0
3945355,2942279,0
4347713,1414927,0
1408511,1194284,0
4408814,3739317,0
1238928,4659467,0
1018709,1742331,0
2046880,4300610,0
4443295,4184865,0
3181246,1139067,0
3380509,1734924,0
2752913,3305492,0
2218832,2120796,0
4740660,3581504,0
437661,4126904,0
3666207,3052886,0
382135,3085368,0
389156,2643697,0
1581586,1199769,0
4210794,2568971,0
2920675,1552579,0
3299550,201205,0
2688044,994873,0
2924910,3230288,0
2201277,889007,0
1609346,3506818,0
2427416,3167276,0
616201,494226,0
3601231,2487089,0
564285,4589623,0
4215060,4418769,0
667276,2407201,0
4531630,3999495,0
3475754,3534741,0
3154352,192111,0
4508361,416616,0
1852473,516304,0
1610492,3074945,0
4527443,1124995,0
131059,3570299,0
97885,528883,0
4249478,738431,0
3003285,3947107,0
3668578,351237,0
715838,928565,0
350947,3202359,0
393914,2413750,0
680571,665528,0
3682884,2082137,0
3018002,3942263,0
3864359,1274902,0
3484394,2908729,0
3577359,4853907,0
1151869,4645289,0
413848,3295326,0
2808364,578640,0
145908,583528,0
4547870,1349300,0
1538900,1894316,0
3623740,4051363,0
2266978,3344932,0
3993273,3506800,0
4841569,4364696,0
3011932,3341726,0
86801,1926087,0
183856,4449930,0
648679,365579,0
2307227,775703,0
3865785,3175142,0
4652414,1432644,0
2711403,3489456,0
4538263,2600348,0
1208815,1885838,0
3324354,4589350,0
576764,2737941,0
2049683,3017999,0
2820067,2220499,0
354515,1156439,0
4394772,4428033,0
1754610,2788164,0
1361023,4548296,0
1318487,1947341,0
740613,1060705,0
883582,3606947,0
727072,2190066,0
2591746,939826,0
839725,2829618,0
502062,3840973,0
302539,3216246,0
1957433,1645352,0
3508762,4209750,0
4586321,4620227,0
876137,1521371,0
2601749,1654598,0
1482807,3295068,0
220999,3016529,0
1577141,184287,0
3827974,3569512,0
2403594,2691151,0
378074,2059706,0
2489946,494525,0
2082670,2277201,0
4060330,667369,0
2512861,634759,0
1574048,3525842,0
3415124,1644568,0
2165144,2773333,0
1786192,286081,0
1940217,1653111,0
1853609,1934576,0
2793142,2891450,0
2995625,796493,0
1587361,514663,0
3375419,1545510,0
1095181,4694839,0
3646450,1225724,0
642673,48494,0
87966,133875,0
1483204,752500,0
3042604,3780502,0
2143360,595466,0
2142775,4664330,0
3977764,4738248,0
4371019,704429,0
1962263,367195,0
421684,3367644,0
3349494,4620943,0
671176,4099290,0
2401885,2463815,0
1540864,4841501,0
3469995,1363613,0
1709652,4722476,0
3153725,1425318,0
2198973,2350601,0
2662248,269860,0
4804735,1616701,0
1062160,304423,0
28231,324915,0
1986373,1716691,0
1305431,4199502,0
1418248,1169345,0
3564378,2105805,0
693251,1341749,0
496516,3732954,0
2283146,2652266,0
1394621,2736036,0
3939075,1510816,0
3365457,2487445,0
2610564,1375456,0
3482457,1014379,0
186576,2928540,0
1511500,1378771,0
4553213,3078575,0
788488,2822734,0
1138019,242188,0
2709892,2077616,0
1834163,1042378,0
2534230,4571604,0
3382815,513302,0
4086035,805308,0
1340514,4118381,0
3867713,2923598,0
586725,3858231,0
2623944,2976613,0
1754603,892052,0
4629379,3623439,0
3255125,1198942,0
1594822,871094,0
843188,933407,0
2134008,3333631,0
3363626,2883117,0
2720611,1745083,0
4184012,1278122,0
3716999,3869391,0
1568101,1984235,0
571550,4064616,0
446500,3841556,0
2449182,698688,0
4082254,1740696,0
2740970,2909157,0
4801023,318488,0
3478884,3240918,0
2480607,1802044,0
3775667,4767967,0
3188526,4300306,0
682952,4295078,0
362997,3526960,0
1612084,2183603,0
4200387,1094181,0
1990489,458458,0
4461382,4736593,0
3108507,1426539,0
4784296,503360,0
2543118,1082686,0
3563189,173121,0
458712,4752630,0
3016142,1085153,0
1125262,1767984,0
2497536,3914247,0
2627536,353352,0
1516525,1277986,0
1103396,724281,0
2068463,1028682,0
2547693,1934303,0
4561593,4504018,0
1649579,376587,0
2246537,3763657,0
55837,3174703,0
1579682,1436934,0
2626508,3463662,0
27455,2709030,0
627712,4575406,0
3567832,3625415,0
2568407,3972696,0
2313891,2222058,0
4823690,2931655,0
3584256,23877,0
3059947,2045341,0
2096871,3857422,0
1691776,3706798,0
1129532,1015943,0
4456336,3213110,0
66713,2615319,0
2743495,3597286,0
3590533,3031434,0
4608015,1044527,0
2403906,2691146,0
4830829,4380729,0
595759,4300975,0
2839890,3701302,0
32445,3033909,0
1025214,1490115,0
282167,465384,0
3207823,2559062,0
1224701,1891606,0
1421447,305423,0
4660451,1256179,0
1261668,1067816,0
1764228,4422609,0
2777771,2231739,0
383313,2242522,0
3489587,1955,0
2638190,4253493,0
169934,4804607,0
63899,3263036,0
3704814,366275,0
2381041,3777338,0
307287,300423,0
1045513,2437746,0
2618096,1589994,0
3760379,4754072,0
2827804,797764,0
4767881,2147783,0
1522526,2514914,0
4528931,3743879,0
1885378,2177244,0
1781442,547677,0
2749495,3370932,0
1313992,882224,0
1188236,2602786,0
4562617,2704149,0
575032,670108,0
247763,2378305,0
4544795,4470016,0
3679619,3697634,0
2784891,1537941,0
2292247,2036778,0
3944664,941203,0
487333,1553751,0
275223,329919,0
3423094,4865821,0
186015,3366813,0
2556495,1987330,0
582388,3432609,0
3257879,2128340,0
1878308,1640969,0
3676914,4143959,0
2359486,3907850,0
2230561,923846,0
4421251,184615,0
1271703,1441918,0
1630111,1286068,0
3262909,4596420,0
384252,1425822,0
4502376,2385044,0
2005370,1104664,0
3658032,3425664,0
3762537,2944488,0
3492184,163138,0
955333,437986,0
1072233,2797768,0
3209423,347021,0
92327,1914181,0
4414701,1195997,0
39712,3879259,0
3650875,883989,0
3791776,4589355,0
1230847,1698566,0
4429226,55609,0
270606,2096814,0
2886281,2868921,0
4802166,4358564,0
4741238,949521,0
1954912,2383267,0
2411057,4626354,0
4443912,329721,0
1926186,3995162,0
1128621,4301414,0
4716637,1005882,0
542154,4789000,0
638389,1886757,0
3757817,3724787,0
3122489,4853427,0
4715147,567719,0
2192966,3177724,0
1193560,3554843,0
1347793,2141106,0
2725722,2717738,0
3162757,3852261,0
4089553,460327,0
3008451,3789900,0
2836852,4397189,0
4573667,216502,0
1151880,2947811,0
512649,2988978,0
547649,1837955,0
1334389,2534643,0
3596371,278922,0
4047130,3013786,0
1319586,4841178,0
3770418,699307,0
255489,71583,0
1846874,2031836,0
3979609,4051775,0
3367717,1434254,0
1549041,477890,0
820884,2331884,0
2232829,1805136,0
120641,647216,0
361285,1086984,0
1976233,4025532,0
1754466,3813231,0
3392362,4420171,0
4643620,2012843,0
4807327,2758100,0
899328,879072,0
2305258,1057913,0
3421645,2144150,0
2154669,3402590,0
2720943,1350256,0
2267458,4191162,0
666935,2529035,0
3812912,1549958,0
204892,460839,0
2922169,974858,0
4506973,3178227,0
3124001,1565884,0
1894749,37607,0
2987237,1664251,0
521561,1003595,0
2328810,1760161,0
4459182,423435,0
3449738,3508404,0
4612499,1813020,0
1485562,2809944,0
3345176,16361,0
955603,3676564,0
3608879,3926124,0
183541,3056805,0
1881654,3140173,0
1200009,2639066,0
2176490,423439,0
2738431,663145,0
2395651,1704947,0
4745986,1014758,0
3459869,3520051,0
552894,3901483,0
1904783,4065549,0
1499374,3113576,0
208925,3330263,0
4067241,718043,0
4515197,388053,0
4076887,2763001,0
2254604,1752511,0
1534468,3376270,0
125737,1144172,0
1707316,2528827,0
2767492,1204059,0
4709855,219719,0
3979171,929528,0
2410557,2422969,0
2257025,2131560,0
3295172,3440870,0
4795013,3778178,0
3509858,2672168,0
1653349,3733032,0
159785,3419964,0
2979486,2079727,0
4820352,3197547,0
2280630,318011,0
1411514,2074446,0
1301070,4427226,0
4145639,1460168,0
293030,3985767,0
1150705,810636,0
1128415,1287988,0
4069886,968038,0
4221973,4765739,0
2632885,2345579,0
291339,4554027,0
4751479,3206884,0
1291211,3456714,0
3876786,246332,0
2996144,419890,0
1635343,3981220,0
632493,3771105,0
1366397,3292306,0
3149996,2704961,0
3433262,3614405,0
1166886,1525258,0
4014166,1861363,0
2936381,2190734,0
1180989,2629838,0
1766757,3959175,0
4404981,4091693,0
2742417,2449237,0
3953295,4265480,0
4462209,1541086,0
1688405,879467,0
72724,4529778,0
75316,2143955,0
1450924,195292,0
450681,2362473,0
2212495,2238321,0
1479642,3344624,0
1861813,381603,0
1451968,3661832,0
2592837,4569095,0
4224984,3242407,0
370858,4785052,0
3139845,1266492,0
3333641,2593805,0
2395102,2496235,0
1441449,1447731,0
85400,4757200,0
49530,2065643,0
2165952,3596655,0
495875,2966626,0
232346,528065,0
2961873,1706252,0
1485079,1468242,0
3419757,1773864,0
832851,1287520,0
831449,1754476,0
3550029,2195057,0
2637461,1461065,0
2882489,4153875,0
3727315,290606,0
3679653,2429910,0
3351506,616232,0
1590860,1136566,0
1225021,3435189,0
4680635,4465766,0
197833,4277203,0
3760547,4665765,0
430569,4854778,0
4359113,3873203,0
