Source,Target,Label
1256536,3428453,0
2572647,1708772,0
4363509,627533,0
3136381,4834762,0
44144,3572848,0
4373989,4711452,0
3795548,2389361,0
1314419,4749046,0
590052,1044619,0
750842,1054066,0
2277414,2032812,0
177388,1080095,0
4451516,3877,0
2130083,657841,0
4090497,3361647,0
766152,1725773,0
486524,3500133,0
4607311,4173281,0
3739162,768072,0
3074347,2109792,0
3663175,3578341,0
3373391,3710515,0
4113642,3292651,0
4843302,97008,0
2178847,2734895,0
3077756,2560127,0
222499,3311847,0
1855957,315943,0
4400377,1962078,0
302387,2148149,0
2655385,1781915,0
2998711,1790638,0
2695001,1120400,0
4177211,2214285,0
2771878,4547560,0
2717784,2114341,0
393907,3440515,0
3639120,2955814,0
1633223,1116741,0
2913067,503547,0
4650154,2280817,0
4243637,3768579,0
2901170,3807796,0
1896819,1478712,0
3541285,2394136,0
4101486,4122220,0
478163,2024844,0
319234,2842740,0
963840,1392986,0
3007438,1426710,0
1427590,1094071,0
825494,1098808,0
1048707,4459509,0
1505914,3980838,0
3861602,2697363,0
4050313,4493477,0
1962024,2250597,0
2754733,893577,0
2123269,2570481,0
3911319,3030839,0
1526035,3125060,0
2958870,3536881,0
1077265,52221,0
3963723,4606836,0
2395541,2786371,0
957022,3589768,0
3891970,3087197,0
79202,835845,0
3729606,95462,0
4533099,4039626,0
3417226,3065923,0
4063855,3933110,0
3066337,3874008,0
4002175,3269380,0
1406282,2337940,0
2778004,3097883,0
2982435,4007815,0
3409930,825644,0
186247,4154523,0
683124,1530589,0
3154352,3766462,0
3199740,1896046,0
856470,3929252,0
3920893,3190209,0
2670763,751109,0
4293512,4507528,0
4530142,4202386,0
1913338,3475263,0
239150,3728433,0
630846,1545539,0
2895896,4361894,0
3697950,617857,0
3906416,3801730,0
2970355,4085332,0
1022782,2418868,0
1389634,4098745,0
4204167,3396965,0
4149058,4589485,0
4081743,1644852,0
57604,1839072,0
2140681,2444866,0
1092657,3002633,0
3724481,1011641,0
2594387,2960684,0
2580244,754882,0
1366953,1619456,0
3311354,576206,0
1915011,1780424,0
1980174,1540618,0
2336764,2573554,0
510771,1071903,0
912016,1999820,0
1342006,2375193,0
3375505,3434514,0
1365724,69614,0
2531310,3396404,0
802619,394705,0
2295482,1561302,0
4483573,4169783,0
2022249,2331401,0
4189930,2419758,0
526800,1421655,0
1496054,4093906,0
4779275,2008594,0
183245,3179609,0
2044462,1151157,0
2246039,3903831,0
2341862,3662070,0
3127127,2540783,0
1041187,1474696,0
1127099,3441068,0
4204431,4049794,0
2636702,578008,0
481823,1302982,0
2074708,4235916,0
2185441,4023588,0
1265897,3636814,0
1355569,981545,0
3155475,479558,0
536643,1582054,0
3303002,1707523,0
3834816,2477530,0
2645753,234652,0
1719551,1234015,0
3445602,211224,0
1974000,2363208,0
