Source,Target,Label
320673,3795421,0
4604495,1596612,0
2777516,498382,0
2099389,2669213,0
499504,68928,0
780266,1027731,0
1022706,3828053,0
1764053,3269710,0
2381205,3588093,0
434147,2536369,0
2350206,3129582,0
3216808,2703870,0
7442,12747,0
4065044,175311,0
2072251,3481236,0
3044413,1893340,0
2659142,567721,0
2761310,539946,0
2670564,4786798,0
2070074,3180935,0
3632627,4777512,0
4307724,4133020,0
2865073,1320994,0
2692165,2306730,0
4430309,4753186,0
4102024,347572,0
2035690,4364699,0
2282317,1838303,0
2745223,126710,0
4333186,118434,0
1673605,2093552,0
4362635,3630144,0
965681,4337631,0
1706763,1277473,0
2139274,3329017,0
967336,2154591,0
1419684,1847230,0
480891,2712966,0
3238735,670834,0
379114,3115127,0
2251144,2139163,0
3003251,4858607,0
4508567,183166,0
1102683,17104,0
1539541,626902,0
1995932,1678838,0
1631922,546882,0
126333,4423052,0
690908,4330476,0
4194558,2173223,0
4208483,4227991,0
4597594,3468990,0
337010,3397911,0
11541,3545929,0
4736029,2746411,0
4263084,151437,0
3911704,4208275,0
3446127,41082,0
3210462,4024388,0
3863843,2762296,0
1068411,4090116,0
1722030,3462323,0
4503113,4062679,0
1418690,1739436,0
2867457,3504651,0
4834904,1159576,0
3742646,837855,0
1939936,453601,0
816842,469370,0
3010459,375986,0
3985898,2391945,0
1822404,347758,0
336100,2882673,0
939,3686141,0
429963,3534456,0
2177792,4536206,0
4616532,3106225,0
2056881,2651002,0
3595976,3267301,0
2479656,586499,0
881493,1226989,0
3397076,1565178,0
1118795,1225172,0
4330243,1084923,0
3751890,4304942,0
828978,1901129,0
3444606,964734,0
2476577,3114648,0
1240381,4744667,0
534175,1755421,0
3641504,2206297,0
4328084,4108530,0
3664450,3476576,0
2842423,2419976,0
2204382,1360142,0
3156433,1755413,0
841283,2442190,0
3731736,4085826,0
4703778,929769,0
133319,508186,0
41641,1326539,0
351404,200628,0
1086107,4356630,0
4156272,3746908,0
2761122,695032,0
1294698,1922670,0
2886212,4209818,0
2793121,2456213,0
846252,1076518,0
3997549,3828416,0
3827418,290250,0
4476049,1268964,0
1088401,176658,0
892794,367729,0
599113,4495936,0
1917425,1314515,0
1570206,239303,0
3680847,4137632,0
4767671,1009681,0
1125068,2267253,0
1179970,1124263,0
2885854,3941774,0
2927475,4001994,0
1502503,99778,0
1135761,4606973,0
64485,3701710,0
708240,4493160,0
4480893,1336724,0
438992,1365048,0
4516841,3482637,0
1645578,4742083,0
3451270,1150627,0
89188,2956522,0
2317030,1407936,0
672500,3929610,0
3667128,2541664,0
3687769,4771092,0
4365498,3448173,0
3763023,2435117,0
2052756,980582,0
3828599,2820338,0
717394,2833444,0
648119,693771,0
4376737,4504190,0
4156235,531649,0
782734,3844362,0
3093542,2991427,0
4002520,4402836,0
1389697,3483921,0
3586435,637536,0
4182156,1360667,0
1143112,4845640,0
1725762,4559282,0
921636,4730201,0
2783603,3859371,0
1047989,3700712,0
4112511,3125365,0
2500230,259553,0
2976742,914132,0
2147748,1783619,0
567366,1911564,0
2440203,4689396,0
2166769,1721264,0
3738307,2817549,0
3316277,3135179,0
4716942,384582,0
2806516,2271540,0
3667726,4206858,0
97011,947752,0
122034,799026,0
3089546,675305,0
3334638,3496543,0
1723421,132378,0
4423248,2833968,0
934471,214470,0
3257705,2989198,0
1544963,4363121,0
2049075,3732816,0
3172360,4653138,0
3140338,2179160,0
1325590,2701074,0
1392329,3032081,0
600213,4025486,0
2113717,2131772,0
2529480,3438619,0
4157131,4026649,0
2392909,1724090,0
3407155,1485885,0
1327954,963268,0
4248056,2694053,0
3510493,440770,0
4324124,1636644,0
4521661,3108873,0
861876,1076855,0
1877016,791044,0
2181883,4006049,0
974510,2149499,0
4200306,2032575,0
1612119,1178837,0
367762,1676923,0
2459882,4408308,0
2958711,2059614,0
1749014,418836,0
3188735,685692,0
1733216,2002282,0
1095651,4821028,0
2874504,2603687,0
4694132,2346937,0
3016129,3702653,0
3108666,4840439,0
4458126,222349,0
366690,2326015,0
687856,382159,0
3002509,4836302,0
3795375,4014114,0
527432,1784922,0
4812969,2913171,0
1560046,123739,0
973533,289449,0
2872485,985329,0
424062,2994592,0
2351706,4281946,0
635852,1925974,0
1488929,719022,0
2418280,3908384,0
3521543,158305,0
1822237,2475062,0
938393,811538,0
2084470,3043801,0
1467742,4289856,0
1636984,546018,0
476745,4568906,0
3189985,203582,0
3823191,3092237,0
3481589,4691542,0
1129416,3351205,0
3167820,1919684,0
1987801,1924432,0
3348641,4016234,0
3816369,4670350,0
1602287,949543,0
3377317,4376038,0
2997373,4729794,0
1510173,1052233,0
4848168,1792877,0
2047754,497503,0
959740,561030,0
3851569,1533063,0
2678456,1199283,0
1341334,116908,0
1823188,4278965,0
1580061,288120,0
4837909,2371475,0
4361852,3700661,0
477155,3782327,0
1141489,2097835,0
1131493,2588737,0
969020,3836036,0
1705613,1774756,0
773528,1477553,0
1469005,289208,0
3732266,4597076,0
3033384,184901,0
3348689,4505745,0
3313787,2376651,0
2468563,1192501,0
1943066,898543,0
101167,4447648,0
3751667,2802849,0
4192475,824007,0
2167139,2526933,0
2543964,3188420,0
2350780,3195427,0
4699397,2654404,0
1553164,4751838,0
2508067,1622697,0
1409059,2423498,0
2551868,2496940,0
2305427,1882597,0
4509595,553871,0
2211155,1850037,0
1335716,4258100,0
1370496,4171214,0
1456538,641441,0
4076365,4049277,0
2118169,4617763,0
4413845,650127,0
4786153,4120474,0
2505162,2821668,0
1981516,749297,0
3830998,259730,0
1622140,280696,0
3745402,1179444,0
2052029,1116864,0
4686481,348047,0
206464,2294833,0
3682391,2471454,0
2197704,1701637,0
4666289,1379836,0
660420,3383255,0
4747492,1626412,0
50561,4332086,0
234310,1238785,0
795215,1047453,0
1419950,3392511,0
4357179,1348503,0
2262040,3098299,0
2712,2098352,0
4352121,3711101,0
4267467,390577,0
3430091,294027,0
3041356,1413704,0
2686912,2834221,0
4204538,1244723,0
3541370,465051,0
926375,1145463,0
2977075,3991270,0
1129044,2181259,0
515327,1628072,0
4065740,4236044,0
2880441,443207,0
1295776,3799953,0
2365295,4779925,0
2403344,4580952,0
4787885,4544000,0
715687,4317117,0
3671442,1775184,0
4672813,2713182,0
4163038,1682838,0
3514928,1147736,0
3456838,2225807,0
3521420,25155,0
2074303,646902,0
3006201,1601769,0
1384787,2063577,0
3487838,242877,0
1273319,1809334,0
3705820,2023605,0
1992816,3513307,0
3696858,1189845,0
1833398,1029061,0
1244404,1851149,0
2232818,1357800,0
244355,2495472,0
951033,1127649,0
2309499,2575535,0
236551,1207100,0
1030389,437615,0
992870,4633660,0
4782373,2751353,0
4865779,1398809,0
2745332,3339850,0
314792,2432165,0
3480726,2414593,0
3807894,4357631,0
3054356,4209060,0
4733008,2746970,0
2573184,2132986,0
2891895,3001519,0
1024036,2478638,0
386388,1564025,0
1591773,157539,0
1566030,3035027,0
31285,1014740,0
3365399,3239210,0
1876413,2435997,0
1245385,1717730,0
3594701,970705,0
588548,738358,0
1894101,2782198,0
1760161,629107,0
59376,197802,0
167458,3544497,0
4736956,1559196,0
1433010,1559001,0
2306896,2878539,0
3242125,3772214,0
467911,3846944,0
2388107,478116,0
1373967,4258032,0
2457154,3103253,0
1241157,3938306,0
4604852,651111,0
2522567,2941447,0
4740639,4133537,0
1764727,2204444,0
3883838,4686656,0
548288,1716001,0
2300424,1864987,0
2110103,619923,0
2755333,1477515,0
3300878,1348637,0
578881,91961,0
784855,1644330,0
559277,4458891,0
1771116,1381333,0
