Source,Target,Label
1420359,1615375,1
2827436,829210,1
2075015,4097615,1
3954325,4641540,1
679540,2751263,1
2827436,4147239,1
2343253,2214332,1
3781001,1247902,1
3361377,4176212,1
4253538,1131814,1
4297315,2973307,1
3248738,3933191,1
2502456,4516282,1
3361377,2211512,1
3836080,2785301,1
978797,2291736,1
2758918,185066,1
1403586,836575,1
4330391,83822,1
3361377,4609146,1
2075015,2574994,1
3509903,1968885,1
612025,1083773,1
3569179,2784672,1
4067716,2290433,1
1063358,27048,1
3280389,1286062,1
363750,3356931,1
4560210,3165931,1
1580988,167600,1
3509903,1225379,1
3054732,3979041,1
1306260,964019,1
3280389,662307,1
1534362,3342563,1
1521855,2123299,1
4624595,1047715,1
2339149,4416246,1
2989110,3374319,1
908746,1633668,1
1234540,1459234,1
4187354,4660155,1
3280389,1320617,1
2681811,600924,1
978797,2081315,1
3898535,3855730,1
3914135,2739443,1
866357,3127611,1
2737233,3172168,1
1870921,3881467,1
670587,4146349,1
2995031,3827729,1
3361377,1741978,1
1580988,505631,1
3280389,2332657,1
158616,4842223,1
1971223,4528830,1
4313572,2802492,1
4751453,4262527,1
227683,609922,1
3636190,530757,1
427805,2220296,1
3629404,3580109,1
2481873,2572273,1
1487324,1997458,1
1676904,744761,1
252905,3492058,1
2961801,2176205,1
4708541,3223367,1
3088807,4840211,1
4416945,1132217,1
2981497,982766,1
256934,293925,1
752551,421548,1
2950311,3452433,1
3873768,741304,1
3014139,632846,1
4207089,4845931,1
2887240,3992290,1
2464401,2050786,1
2962038,2564315,1
3280389,733762,1
1250021,2909418,1
3361377,2627515,1
2957859,3326779,1
1367871,1324471,1
2022555,2825521,1
3280389,2689826,1
483251,2315464,1
3765475,2609743,1
1534362,73422,1
3569179,1393277,1
2985909,1502389,1
1580988,329713,1
2961801,1757502,1
696076,1235438,1
2962038,2963052,1
2827436,4454971,1
1580988,2347074,1
813400,3808334,1
1580988,1313045,1
4183784,4820261,1
1206697,4301172,1
2956248,2639201,1
1331940,1550840,1
3844858,4108051,1
2108878,4055149,1
150578,3154207,1
2897926,74290,1
4688495,1393002,1
4141211,4319193,1
4680348,22100,1
3065808,2468312,1
1201711,3768607,1
1534362,2170523,1
3336522,803769,1
976310,1463080,1
3638272,4065291,1
4295271,4597615,1
2075015,4093887,1
1880135,2594785,1
3137585,2467901,1
3361377,2402597,1
4337603,780222,1
2913726,2200289,1
214501,4803854,1
3449337,1072407,1
595757,765117,1
2883055,4430262,1
3734245,4290201,1
3280389,4231822,1
3569179,1446043,1
4249983,1212489,1
2611624,1490518,1
1580988,4031116,1
2161375,4208840,1
1107648,973995,1
1086912,2767530,1
3692657,713198,1
2261139,4236590,1
595757,2750336,1
2494800,485881,1
3373149,1414496,1
3811953,271364,1
1580988,2347498,1
2066742,3729331,1
408965,4632546,1
593740,1483204,1
4513854,4142719,1
4302921,1925418,1
2961801,945120,1
2827436,1710515,1
3676295,1643895,1
4220533,1453529,1
4358855,4161509,1
4727207,731007,1
3912065,1037385,1
3630524,4334275,1
996752,3526648,1
1580988,1858404,1
1250021,2848605,1
4360960,1525611,1
2276175,180061,1
3361377,2532457,1
3214323,825253,1
2498087,581070,1
3438576,4839200,1
2428341,2820513,1
4579906,4223300,1
2281149,2266366,1
2075015,1840071,1
3509903,274203,1
4838376,435916,1
4922,2031838,1
408965,4583941,1
1179906,3143757,1
532681,795994,1
3338906,4783708,1
1673877,3662667,1
427805,4847864,1
4679513,1184673,1
4088288,2092502,1
1062967,2262662,1
2981537,2099426,1
2075015,4198081,1
4801471,3060762,1
4023687,3118688,1
3214323,3694823,1
1913445,4406871,1
4100923,1831747,1
3280389,4028003,1
1513954,3612049,1
1063358,1655448,1
1503116,4575069,1
695601,2986918,1
3941858,1483319,1
2827436,2921071,1
2950311,1411207,1
4179343,341554,1
2094626,392828,1
1880135,4272740,1
4451122,2538714,1
575638,3545772,1
2281709,4657118,1
3672238,3875080,1
3691520,4236092,1
2998026,4661910,1
2981537,1302250,1
2291145,223540,1
3065808,1242134,1
3361377,4126210,1
1092045,1797403,1
414608,3007047,1
1396884,315878,1
1927211,899403,1
805360,775048,1
1123745,3383283,1
2594373,703509,1
1697778,117185,1
4108836,2502227,1
4249983,753616,1
484672,2221701,1
932720,4785802,1
439557,1388105,1
2887240,2035528,1
3651891,807374,1
2405789,3785002,1
1057389,400116,1
3906136,1128113,1
781211,4186093,1
1596160,429614,1
3280389,1024701,1
3396719,2668397,1
2032442,4581683,1
2201642,680851,1
4238001,2282445,1
2248686,1482386,1
2519905,4536760,1
4401332,3589006,1
805360,1173312,1
3638272,3179288,1
2961801,226727,1
1699654,2660666,1
2457029,2004751,1
1549334,1550784,1
4220190,301679,1
4411870,4081208,1
4261974,2165200,1
4423184,3551482,1
3638272,4000428,1
441667,1306997,1
1512714,2252447,1
2861639,4853449,1
1906425,2496367,1
471706,1986376,1
515290,496520,1
3835618,1346662,1
1190435,4134838,1
4011264,2089053,1
4860485,4099089,1
780562,3257084,1
2147720,4618050,1
3431315,647571,1
92352,395249,1
4582129,4378823,1
36264,687486,1
4295952,2518036,1
3134846,4556283,1
3419989,1091438,1
2516076,1647104,1
2886330,4474247,1
1471685,2439263,1
4672319,2894670,1
3280389,610775,1
2827436,3102639,1
2851109,857090,1
3633019,2119098,1
3684557,3120890,1
2307868,3724728,1
4122296,1820557,1
3294702,332970,1
3257465,2295021,1
93538,1377539,1
3361377,3489734,1
3137585,1518121,1
3140664,2263744,1
471706,2515024,1
1658293,4666074,1
2187320,3035490,1
575638,4811895,1
4238001,3837158,1
2260014,315372,1
593740,1916925,1
3271484,1825174,1
1534362,3460270,1
405025,3225613,1
1103332,319168,1
4750855,3299260,1
755739,4689041,1
4539039,294717,1
3137585,4816823,1
2441425,740638,1
6618,3542480,1
386424,1100561,1
3638272,1748758,1
3137585,1516081,1
3280389,569515,1
2922412,951669,1
154154,2711859,1
3033166,190872,1
2998026,4563008,1
474172,4324559,1
765601,4372233,1
4208653,4543029,1
544230,3447316,1
2464401,2695,1
3291396,354449,1
3361377,1859419,1
3742930,3583976,1
978341,4108836,1
4191410,4663165,1
2032853,4805205,1
1652056,1402197,1
4385783,396205,1
793511,1531913,1
3361377,619726,1
1809926,1182973,1
2887240,3069786,1
1063358,3012169,1
4209323,2925772,1
3836080,4679257,1
4140279,350630,1
3361377,1279980,1
1207753,1274095,1
3361377,4081060,1
544584,3022411,1
3437068,805402,1
4812374,3532986,1
200541,4328849,1
3361377,3486281,1
2260014,3084655,1
1761151,3567677,1
1580988,765532,1
2203170,4285743,1
414608,4392109,1
4818741,420221,1
1685063,3963493,1
3784443,1287937,1
4624595,4101830,1
2887240,106252,1
1205168,1554412,1
2851109,3161295,1
3914135,859168,1
2827436,3324877,1
1682211,1161147,1
4560210,156397,1
3129073,4179539,1
1196844,1938491,1
3509903,2427881,1
3361377,3768527,1
3638272,28118,1
1330101,1625482,1
2961801,2409648,1
386424,3910028,1
765601,4748901,1
680015,4128650,1
4209323,3381938,1
4192206,1258556,1
1428477,3904647,1
3361377,3733187,1
4178055,1434377,1
3836080,1911376,1
366983,2919366,1
1580988,3746849,1
2092359,4061946,1
3134099,3064776,1
1575009,2077355,1
3115867,4384731,1
441667,2687252,1
860473,4507523,1
3071504,4273072,1
693181,3759853,1
3509903,4790902,1
3361377,1728773,1
1926532,2156513,1
354904,4032788,1
2960291,4386595,1
1474822,991157,1
946854,1218044,1
2827436,1506924,1
2362241,2623219,1
4360960,2195479,1
4516604,2447120,1
3638272,2962030,1
1288771,4495622,1
4067716,1641702,1
3539834,320743,1
2668669,682476,1
2182964,3130072,1
1085716,613920,1
3196597,1467357,1
2950311,2958901,1
3235479,2720109,1
2172854,3909550,1
2516076,4492253,1
2713411,3499689,1
4451122,1326462,1
3294702,2487035,1
2405789,2062077,1
4777191,2146096,1
1821035,2040965,1
3410500,2968184,1
2324324,1359393,1
2849738,1289535,1
3294702,2438138,1
3638272,4230463,1
2348182,4211530,1
2536472,1626614,1
1927211,2213299,1
2827436,3881378,1
3721550,3509406,1
765601,3159883,1
2751572,4086564,1
2264997,3535336,1
755739,606714,1
3133090,3247410,1
1288771,4600476,1
3941858,2658559,1
1250021,2287839,1
78836,4414826,1
873241,2118539,1
3112136,3486409,1
648163,4777526,1
2781817,3979972,1
3768366,3926840,1
3058068,3287331,1
3280389,1050263,1
3280389,2109900,1
3632293,354551,1
2884705,628560,1
710869,1859872,1
978797,2005957,1
4225092,4770272,1
3387814,4633398,1
3361377,3726209,1
4599306,598774,1
4539039,4788130,1
4656285,4743119,1
2692967,3474167,1
3280389,1853525,1
3764177,4406973,1
801222,959255,1
3361377,2477410,1
3824547,675615,1
4011264,3879718,1
2305948,1345789,1
4140279,625402,1
2827436,1906030,1
2148937,792136,1
525570,339563,1
3943091,4694585,1
2028435,1296301,1
4708541,2077751,1
3361377,3416467,1
354904,3360094,1
4485028,2821086,1
2989110,1765555,1
2467807,2333880,1
4272102,4605737,1
2887240,3614623,1
439557,2387835,1
4295952,4494060,1
4485028,2913357,1
873006,1249554,1
3645402,1949202,1
4374509,1120363,1
1580988,2675756,1
354904,2351757,1
4209323,4067206,1
2961801,2546691,1
2183119,1732062,1
466667,1350676,1
752551,3193189,1
4762204,531256,1
354904,3592041,1
3509903,997711,1
3405059,3339961,1
4318206,919165,1
515290,155080,1
1906576,2876715,1
3509903,4421080,1
1748831,4075779,1
2885394,45861,1
92352,4352862,1
3144238,1188502,1
1557086,350230,1
307250,779694,1
3638272,2661196,1
4653941,2470963,1
2307868,2793828,1
755739,4138397,1
3337583,3751358,1
2101215,2763282,1
2281149,4482044,1
1250021,3084726,1
2498087,430536,1
3119726,3711691,1
