Source,Target,Label
1887669,2576851,1
1880135,262623,1
4183784,862105,1
1475591,902455,1
595757,1344612,1
4295952,3761720,1
1250021,4704467,1
593740,3400701,1
4552666,1998711,1
4209323,3236406,1
1067752,2923257,1
3884904,3718259,1
3683235,590925,1
2827436,1142165,1
3280389,2539290,1
1151593,2037980,1
755739,3037580,1
3294702,2871968,1
4360960,2447526,1
185943,2097685,1
3280389,3307648,1
1333761,4651422,1
1086912,1827263,1
3638272,252173,1
3823546,4735635,1
2031305,2297283,1
1549445,3530887,1
3123639,2988514,1
3836080,3296089,1
3638272,1214385,1
439557,2177788,1
1652056,3788104,1
1913445,2420015,1
745032,2193612,1
3144238,3073461,1
2226235,3660770,1
2750342,1673877,1
3509903,3400171,1
1913445,4132346,1
2877907,1988347,1
2755798,917738,1
486205,1846514,1
2827436,1085369,1
2547306,508068,1
3930937,4456768,1
1250021,2544353,1
592541,672315,1
3205432,2497233,1
4330391,3430500,1
4360960,3528851,1
1580988,3174923,1
3361377,1122604,1
805360,1165192,1
1927974,3846526,1
3361377,1695786,1
3742930,2923180,1
3671141,4487335,1
3873768,4415258,1
3638272,4308412,1
842398,2548370,1
3361377,3797998,1
1664942,1397601,1
3671141,2645338,1
1503116,2267558,1
4209323,1065939,1
3116723,1993232,1
855821,1709902,1
333887,1161838,1
4516604,207591,1
1455058,4039328,1
185943,3872163,1
3630714,2089636,1
4179343,23675,1
4656285,2854458,1
3509903,3824908,1
4827056,2808791,1
3155346,106978,1
4365938,3525544,1
3671141,2640074,1
4838376,2580585,1
781211,2896906,1
4219479,4316540,1
3795221,2208166,1
1984622,774738,1
4320535,3280827,1
4191410,3466467,1
2490914,3078862,1
932720,530899,1
525299,4746033,1
1521082,2272970,1
1542757,4836618,1
4552666,927097,1
3836080,3254457,1
3906136,3275207,1
4455047,3752600,1
3870873,3373712,1
1196844,93025,1
2263130,1774979,1
155821,1721769,1
2269301,807374,1
4624595,3792551,1
2981537,2954011,1
3065808,732446,1
691794,1376933,1
4295952,2066040,1
2774493,2772416,1
3073703,272937,1
1383571,3039773,1
957197,2992901,1
4492248,3411795,1
1471685,1236044,1
1086912,2530943,1
2887240,4181174,1
2096270,2447862,1
3449530,1814590,1
2662809,1155764,1
1471685,3198888,1
3438576,717797,1
3509903,3213002,1
3092943,931306,1
3361377,2167617,1
690157,3235661,1
3764177,1412761,1
4827056,2108009,1
3638272,530595,1
4411870,3910196,1
1301651,3339297,1
4922,2356209,1
1633053,150578,1
60980,3358644,1
4537681,1240692,1
1228333,2905248,1
4596817,596754,1
1684727,1634041,1
101147,15595,1
4450461,419722,1
3517820,4024600,1
4295952,2447157,1
3065808,1660909,1
408965,3495564,1
3137900,1764277,1
3280389,1000159,1
4492248,3771164,1
502082,3195519,1
2147720,4089260,1
2980600,2444734,1
3137585,2881486,1
2514271,417414,1
2206273,963168,1
2109216,3594936,1
2102302,2651893,1
1333761,4023801,1
3235479,1721320,1
940526,1071710,1
307250,3461758,1
1673115,67454,1
3234025,432311,1
3972488,2718603,1
668325,514322,1
1227340,4196618,1
4143418,4185099,1
3509903,2394949,1
1138515,1033193,1
1497278,332153,1
3361377,1450546,1
3509903,2856868,1
4209323,4046223,1
1875,1133420,1
532681,1218137,1
985610,3460938,1
471706,3401411,1
3235479,4823542,1
2827436,3253647,1
1819836,2340478,1
568276,4250173,1
755739,401411,1
2343253,148068,1
4564202,1823044,1
3300452,707434,1
2067894,1850111,1
4799966,4721852,1
2827436,2007376,1
1225988,4646624,1
3119726,4417288,1
2428341,4338006,1
3703225,3233616,1
471706,1967938,1
1880135,423153,1
3294702,940857,1
3150561,800334,1
4258870,1161202,1
2772256,1950946,1
1580988,3812175,1
3280389,3799377,1
1741347,2765056,1
2553405,668328,1
1348342,1654264,1
4186494,442508,1
1227855,4285487,1
2405789,4334124,1
4317718,4533769,1
4792793,3092777,1
3361377,1348314,1
2573230,2505815,1
3361377,3082967,1
1832774,713312,1
3361377,4204490,1
3873768,4761792,1
4569293,3595683,1
1927780,3455079,1
1968010,226193,1
2092359,2892682,1
3765475,4386462,1
3645402,4158113,1
4191410,2997017,1
3137585,4746370,1
2031305,1209777,1
408965,3106570,1
1100354,3948435,1
315254,2903251,1
2887240,2539782,1
2289809,4040151,1
1704919,3674496,1
3118804,445212,1
3561502,1716515,1
1889641,1270884,1
2044668,3162816,1
3361377,3581058,1
1443613,635675,1
4295952,2875545,1
4848648,2714881,1
386424,1330776,1
3294702,3696733,1
2827436,2570065,1
4106313,1947657,1
1855827,4090698,1
3124653,1958288,1
3758692,423152,1
3948929,4618481,1
526563,3594022,1
2887240,299171,1
805360,3906,1
1588330,1204242,1
3361377,4584896,1
532681,3402545,1
2073434,2548796,1
2147720,1016116,1
3361377,1804861,1
837553,738774,1
2827436,2746420,1
1075792,3139162,1
3739473,2297625,1
4494577,4144155,1
3914135,2369475,1
2032442,2732723,1
978797,3375008,1
932720,2067471,1
2858723,4264605,1
4653086,1322178,1
4404351,1712607,1
837553,139868,1
3438576,3692033,1
1301815,1210571,1
1163500,3046620,1
4004339,1687932,1
307950,3157183,1
4011264,347267,1
2637259,1459239,1
4417253,2643261,1
4575512,497441,1
3509903,209292,1
984638,3262452,1
3140664,42008,1
4295952,1791904,1
1201711,4183869,1
957197,2554978,1
2343253,4601955,1
1580508,1905705,1
1057323,3615055,1
4385783,505997,1
4483374,1963596,1
671875,2714430,1
1325245,1990135,1
439557,1945496,1
3361377,4524927,1
805160,1753382,1
787416,1527094,1
1503116,3329930,1
4183784,222689,1
948768,1492632,1
3509903,1605379,1
1863381,2515885,1
2260014,1744263,1
3836080,2205651,1
3090823,3152101,1
3941858,1338624,1
2827436,2547186,1
2161375,2835189,1
3298299,3871737,1
1234540,4632727,1
3638272,267282,1
1895452,3831619,1
2150273,3522331,1
3873768,391370,1
628351,282349,1
2031305,3688032,1
837553,2327378,1
4708541,4709971,1
1392958,4855736,1
3027798,243738,1
4221402,3227444,1
3734245,2023434,1
2897926,3645736,1
1486758,2124381,1
3835618,3630447,1
2962038,360765,1
4011264,3319624,1
3112136,2258089,1
873006,1755310,1
3509903,1928472,1
4099957,3382207,1
3764177,831144,1
1243368,878832,1
3638272,2059580,1
276216,2496757,1
2981537,904584,1
544230,81406,1
354904,1875785,1
2772113,2243644,1
3872736,4223529,1
2168218,2048650,1
3531730,2220500,1
2441425,3427527,1
3676295,546007,1
1436174,264601,1
3633019,2750684,1
4798192,4806389,1
2751572,2145053,1
4853234,4701497,1
530200,2358359,1
2893334,1556093,1
3509903,2069332,1
3280389,3855110,1
4272102,303433,1
1055530,907654,1
4011264,2845869,1
3194560,429175,1
235795,2638640,1
1880135,3211493,1
3638272,2396992,1
3509903,4059415,1
3464608,2720391,1
3872274,1213402,1
4272102,3269351,1
1135323,2051325,1
2948092,1586293,1
4257751,239758,1
3906136,859311,1
2375878,1230427,1
1723506,1580758,1
2405789,1823501,1
3137585,4078281,1
2961801,4849011,1
1654099,416856,1
2961801,1777808,1
2887240,3404488,1
3201437,972176,1
2827436,1090356,1
3671141,4830517,1
3638272,2210544,1
3361377,4778029,1
1722916,3910816,1
3509903,4330856,1
4411870,1546276,1
569972,4050367,1
3760299,466771,1
3721550,4538958,1
4443577,1706237,1
253116,3771197,1
4723328,3261628,1
2893555,3605921,1
1880135,3845428,1
3889543,2683526,1
4342519,1684839,1
3638272,3881898,1
2267131,4622151,1
536859,4399608,1
4334275,4734333,1
1202593,2137295,1
3842148,3558233,1
2853969,1336685,1
3397281,1250944,1
2281149,4278966,1
3509214,794978,1
1534362,503768,1
3070589,95623,1
2586853,2612025,1
3764177,1085058,1
4112891,3648540,1
1396884,1317805,1
1730758,3866676,1
2207325,3317746,1
1971223,4383701,1
1250021,4315645,1
1065630,3307666,1
3881634,3098151,1
4723320,4852462,1
2817817,4089568,1
4653941,1133291,1
474172,2449193,1
3676295,713977,1
1436216,1940301,1
2853969,169702,1
4155825,3806425,1
4727207,34186,1
748019,3715758,1
4842461,1410237,1
3271484,1241199,1
3119857,1626054,1
1533546,2042988,1
445732,364665,1
3638272,770166,1
3674250,2914483,1
1063358,870262,1
1250021,3031669,1
2722942,4087609,1
1538797,3062292,1
3765475,3190,1
4417253,16346,1
281939,1896315,1
92906,952606,1
3280389,276676,1
3235479,237456,1
4061933,4646355,1
3509214,408429,1
3361377,3776955,1
680662,3756634,1
2219036,293634,1
765601,2069396,1
3235479,19878,1
6618,4543145,1
3257465,730921,1
4735218,2777834,1
4360960,2971239,1
2516076,2961113,1
1600857,4471177,1
2672764,3093066,1
3761102,4696178,1
4642569,2785081,1
1769943,2425008,1
638753,4057230,1
3361377,2558430,1
765601,4691185,1
1606969,750613,1
2893334,4789259,1
3758692,1000539,1
3151252,3138601,1
3144238,1769439,1
1249967,3225018,1
1984622,4686557,1
581535,1751867,1
2827436,1729023,1
3375887,4290334,1
4798192,4819480,1
2772113,343386,1
765601,4866910,1
3992144,780798,1
3438576,4641848,1
2962038,1975652,1
3509903,91759,1
4851206,319053,1
42549,2881425,1
2998026,3750928,1
2827436,1108779,1
3361377,1938090,1
2790006,252552,1
3361377,87049,1
4727207,2886938,1
842476,3698098,1
3361377,3332497,1
1580988,2810166,1
1341178,3888816,1
4140279,545155,1
4451122,4182062,1
873006,2240440,1
868049,2618066,1
1494665,508534,1
2075015,2434441,1
765601,1266691,1
932720,4466974,1
2464401,918918,1
3507716,3335809,1
3734245,1440478,1
1218579,3808061,1
4178055,2416752,1
1092261,4350450,1
2981537,2434012,1
1966548,1771065,1
2851109,1958848,1
3271484,1256993,1
1192480,2662283,1
1428477,1337038,1
3106877,1972977,1
4295952,579540,1
2993436,4078435,1
2533668,2961383,1
3115867,3077973,1
1653268,591124,1
3115867,2126197,1
1207753,2739121,1
3624714,4149517,1
3361377,455,1
886206,431709,1
781211,2602895,1
4417253,3772734,1
22713,1388360,1
2851109,171628,1
2375878,4162291,1
2517463,2353137,1
2101710,2946124,1
4055858,2716755,1
1913862,2636909,1
4077796,3590546,1
3638272,3634238,1
4689808,1918011,1
687144,2358830,1
3638272,3084773,1
1127093,4388892,1
4539231,946404,1
1353265,2454278,1
2876617,1958554,1
427805,845154,1
2426038,4060932,1
1301815,2486828,1
708290,3080766,1
1234540,1404959,1
2713411,3355179,1
1063358,544760,1
2432129,1328761,1
3115867,192039,1
2169693,1631242,1
2465641,4267587,1
842615,1712417,1
4660753,3960018,1
671026,993761,1
3638272,2400021,1
3438576,2385177,1
1436216,4733760,1
3845119,80778,1
635909,2494860,1
2428341,2126141,1
948128,3471369,1
4838376,909910,1
917130,4130956,1
765601,2093457,1
2268611,3187231,1
492803,3224026,1
2209323,3749035,1
2173828,1773259,1
2514271,1027712,1
4624595,148156,1
1489613,3989503,1
932720,2124353,1
439557,3959119,1
1068490,4185658,1
1015986,2290335,1
1795565,1169644,1
3419989,941509,1
3847046,4536223,1
1875,3283418,1
4827056,2442837,1
2041134,212214,1
2877907,3478174,1
3638272,4101269,1
1966548,82314,1
3449530,3600784,1
4423184,152743,1
2092359,180924,1
931242,54420,1
4429751,297237,1
3758692,1546732,1
670309,4857127,1
2824797,4462742,1
3820250,3920413,1
2436781,2035875,1
1306260,4739527,1
1293807,326449,1
3509903,2765526,1
3346033,1326380,1
3950068,567662,1
1539837,1032465,1
3638272,2564147,1
2412131,2166408,1
2751572,852853,1
6618,2314745,1
4360799,1924805,1
4302921,3261741,1
3361377,573577,1
889330,2831066,1
427805,1114079,1
1392121,3743204,1
957197,3769953,1
471706,1601405,1
755739,4446438,1
3105366,1239902,1
2851109,2267069,1
1847461,1079545,1
2008967,2048813,1
354904,1097899,1
1094821,3545482,1
3638272,299893,1
2032442,666237,1
4656285,2460276,1
974650,4186985,1
4209323,4530686,1
4803701,509481,1
3509903,2742424,1
2961801,620645,1
2650412,3668312,1
2853969,3397044,1
2261139,2827064,1
796701,3399665,1
4519298,985328,1
2125671,3722077,1
2308819,2289837,1
4708541,1323208,1
2202731,167890,1
1580988,434126,1
