Source,Target,Label
847782,1036154,1
3124653,2747231,1
421669,107705,1
3619995,3832364,1
4492816,1163415,1
4758732,4182386,1
3440503,4650955,1
1012835,638302,1
875021,2585678,1
714288,4096302,1
4564202,2676751,1
4354177,4811535,1
1297643,3023674,1
2140896,655543,1
319124,526798,1
2969019,4202576,1
889433,1927296,1
379350,3402731,1
4758078,666439,1
4505464,3527298,1
442911,3117384,1
2963276,3405370,1
1560976,3242687,1
714063,59603,1
3060030,3093029,1
2367290,3297430,1
4707592,1370387,1
2620077,625783,1
3894811,662600,1
2003003,4232568,1
4516410,1123713,1
2476800,1469493,1
2872011,4849508,1
609281,1824118,1
4553033,1450792,1
2150686,895433,1
1136157,4753266,1
2104618,1964664,1
4362385,1499579,1
1859935,877654,1
3679106,2596281,1
3695421,2891,1
2980274,2266398,1
2291578,3327307,1
2391291,1056518,1
4638689,4798682,1
3346121,4450373,1
362924,2883701,1
4605319,689077,1
1088696,3396881,1
946854,318391,1
3058232,4505946,1
3185083,687023,1
704217,3048500,1
2990749,4696176,1
1224283,1779035,1
2989900,1794799,1
3578770,692608,1
275059,3475089,1
4394514,2643074,1
3941858,3120890,1
1836718,3719471,1
1722543,3182377,1
1270944,3438576,1
2609215,2349178,1
710313,2924839,1
1051974,2379896,1
3398956,314166,1
1878000,1224804,1
3088807,3243825,1
1993909,4233677,1
4781147,1981900,1
494448,3245964,1
334130,658268,1
1917142,4787712,1
501274,2466379,1
422075,3437068,1
1735116,671683,1
4365442,537952,1
3071504,3697450,1
3031885,4735272,1
2848791,3984421,1
28346,3373149,1
2111067,2572070,1
3472556,2533794,1
3669803,1918440,1
2087916,1060998,1
611781,197890,1
4863482,340576,1
13134,2368809,1
166029,3714345,1
4002936,1921164,1
2572933,719420,1
908746,2113545,1
3032276,917886,1
3585757,617391,1
4256393,1337853,1
391796,4108715,1
1212079,3770494,1
671875,704690,1
1776312,2189067,1
4130930,3900421,1
3500461,376875,1
323258,553968,1
2612638,2226706,1
1573843,3159961,1
3242547,2891498,1
4789652,3835450,1
1556688,4233908,1
2906472,432107,1
3805025,3689540,1
3026239,1228370,1
3382479,2068809,1
3859832,1234149,1
3444590,4784584,1
1820305,3207182,1
2584550,571661,1
610143,4152499,1
4383702,355473,1
487430,4246572,1
2723940,2242560,1
3844106,514623,1
3034335,996373,1
3423256,3634750,1
3315043,4399778,1
4088293,3817263,1
3268092,4767729,1
2888087,2427353,1
613620,1678964,1
4282184,824535,1
4019502,3159480,1
1485287,1926229,1
2924633,4648695,1
3965832,375680,1
471706,1805400,1
1161753,1745366,1
1657338,243230,1
555273,1864982,1
3460231,3666433,1
4615837,2863066,1
1669142,4272512,1
2618430,4529244,1
1068032,2226706,1
4849993,3234443,1
4805051,2611026,1
4291525,1285213,1
4512384,279280,1
1840197,1928342,1
3208110,236310,1
2862684,1556108,1
1258728,37520,1
1722972,1056413,1
2614169,3750225,1
4595442,3665288,1
2512040,4051743,1
2189304,2488082,1
4487895,1519061,1
3601266,4186985,1
4372315,3039181,1
46697,1319923,1
91095,3832364,1
4662290,969551,1
2111539,3765475,1
2132882,3578770,1
4069776,4126610,1
3464362,3444789,1
4763533,353610,1
4479145,24008,1
3844662,4235401,1
4688650,3412386,1
182407,1625939,1
4475727,4441974,1
687144,1661117,1
1520160,2384620,1
3057252,3352750,1
4693019,2164683,1
2528041,1044491,1
751729,2012351,1
3648937,1862860,1
4330022,703809,1
474761,2687892,1
1340835,3832364,1
4362385,4167459,1
3909217,4268239,1
3485174,4585556,1
2752273,4094216,1
1239902,2130116,1
2151493,3515027,1
2222565,2658491,1
4057755,2824608,1
1629116,2933830,1
2962303,4099957,1
3620395,3217495,1
2062136,2517163,1
4664525,4570379,1
1938475,4651447,1
2329255,2709576,1
3021112,3056031,1
3759542,4267733,1
2941980,4064721,1
493062,43532,1
1012287,788189,1
4304435,3561222,1
2637493,24287,1
893655,681711,1
229999,615641,1
4087774,4556221,1
1241955,3838315,1
3530377,857913,1
1681576,1891218,1
2488822,612450,1
4141461,2765793,1
3587208,3809803,1
2712769,287833,1
505480,4097198,1
1038711,3241251,1
2250205,145332,1
1077765,474137,1
1995372,2465780,1
3321582,4086984,1
293344,1699494,1
1738664,1476034,1
917130,4202589,1
2840920,1732056,1
1449297,2763198,1
2694463,429658,1
3736462,1292598,1
1341441,3867009,1
3443682,835598,1
622581,4460651,1
3644915,194263,1
4577918,4604736,1
2553405,1467144,1
